Codigo	Stream	Aquaculture	Month	Ponto	Ae_pl 	An_sp	Ap_al	Ap_ca 	Ap_af	Ap_pi	Ap_vl	As_bo	As_fa	As_la	As_pa	Br_co 	Br_ex	Br_ih	Br_tu	Ca_ca	Ca_da	Ce_go	Ce_ih	Ch_go	Ch_ze	Co_ae	Co_re	Cr_br	Cy_mo	Ei_tr	Er_er	Fa_ha	Ga_gu	Ge_ip	Gy_in	Gy_pa	Gy_sy	Ho_mb	Ho_mi	Ho_sp	Hy_an	Hy_sp	Hy_sp2	Hy_ti	Im_mi	Im_sc	Le_fr	Lo_pl	Mo_au	Mo_bo	Mo_gr	Mo_sa	Ol_pa	Ol_pi	Or_ni	Ot_po	Pa_na	Ph_ha	Ph_te	Pi_ar	Pi_av	Pi_gr	Pi_st	Po_re	Pr_li	Py_au	Rh_qu	Ri_la	Se_no	St_br	St_in	St_ma	Sy_ma	Ta_ne 
APA1D17	16_Janeiro	Moderate	Dezembro	Cabeceira	0	0	0	0	0	0	0	0	120	5286	0	0	0	0	0	0	0	0	0	0	0	20994	0	0	0	0	0	0	0	0	120	487	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	1768	0	0	0	0	0	0	0
APA2D17	16_Janeiro	Moderate	Dezembro	Meio	0	0	0	0	0	51	51	0	993	2192	0	0	51	0	1134	0	0	0	51	0	51	253	0	0	0	0	0	0	0	0	192	0	0	0	0	0	810	0	0	0	0	101	0	0	0	0	0	0	0	0	156	0	0	0	0	0	152	0	0	0	0	0	1174	0	0	0	0	0	0	0
APA3D17	16_Janeiro	Moderate	Dezembro	Foz	46	0	0	0	0	46	46	0	141	1038	46	0	637	0	523	0	0	0	0	0	46	579	0	0	46	0	0	0	0	0	92	184	0	46	0	0	92	0	0	0	0	46	46	0	0	0	0	0	0	0	0	0	0	46	0	0	3552	0	0	0	0	0	46	0	0	0	0	0	0	0
APA1M18	16_Janeiro	Moderate	Marco	Cabeceira	0	0	0	0	0	0	0	0	0	4764	0	0	0	0	0	0	0	0	0	0	0	25096	0	0	0	0	0	0	0	0	2402	3203	0	213	0	0	5205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4171	0	0	0	0	0	213	0
APA2M18	16_Janeiro	Moderate	Marco	Meio	0	0	0	0	0	923	44	0	672	2279	0	0	358	0	1432	0	0	0	133	0	193	223	0	0	0	0	0	0	0	0	992	44	0	44	0	0	133	0	0	0	0	168	0	0	0	0	0	0	0	0	259	0	89	0	0	0	425	0	0	0	0	0	222	0	0	0	44	0	44	0
APA3M18	16_Janeiro	Moderate	Marco	Foz	40	0	0	0	0	0	0	0	40	1631	0	0	263	0	1794	0	0	0	0	0	0	40	0	80	0	0	40	0	0	0	734	0	0	0	0	0	40	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	88	0	0	0	571	0	0	0	0	0	40	0	0	40	0	0	0	0
APA1J18	16_Janeiro	Moderate	Junho	Cabeceira	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	3375	0	0	0	0	0	0	0	0	822	1204	0	0	0	0	779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1558	0	0	0	0	0	0	0
APA2J18	16_Janeiro	Moderate	Junho	Meio	0	0	0	0	0	93	46	0	686	3840	388	0	143	0	2458	0	0	0	353	0	0	93	0	0	0	0	0	0	0	0	969	93	0	0	0	0	188	0	0	0	0	46	0	0	0	0	0	0	0	0	331	0	0	0	0	0	1647	0	0	0	0	0	2399	0	0	0	0	0	0	0
APA3J18	16_Janeiro	Moderate	Junho	Foz	0	0	0	0	0	82	0	0	0	624	0	0	164	0	1117	0	0	0	0	0	0	448	0	312	0	0	123	0	0	0	468	206	0	41	0	0	156	0	0	0	0	41	0	0	0	0	0	0	0	0	82	0	0	0	0	0	364	0	0	0	0	0	206	0	0	0	0	0	0	0
APA1S18	16_Janeiro	Moderate	Setembro	Cabeceira	0	0	0	0	0	0	0	0	0	551	0	0	0	0	0	0	0	0	0	0	0	15197	0	0	0	0	0	0	0	0	0	551	0	0	0	0	5066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2207	0	0	0	0	0	0	0
