Codigo	Riacho	Categoria	Mes	Ponto	Ae_pl 	An_sp	Ap_al	Ap_ca 	Ap_af	Ap_pi	Ap_vl	As_bo	As_fa	As_la	As_pa	Br_co 	Br_ex	Br_ih	Br_tu	Ca_ca	Ca_da	Ce_go	Ce_ih	Ch_go	Ch_ze	Co_ae	Co_re	Cr_br	Cy_mo	Ei_tr	Er_er	Fa_ha	Ga_gu	Ge_br	Gy_in	Gy_pa	Gy_sy	Ho_mb	Ho_mi	Ho_sp	Hy_an	Hy_sp	Hy_sp2	Hy_ti	Im_mi	Im_sc	Le_fr	Lo_pl	Mo_au	Mo_bo	Mo_gr	Mo_sa	Ol_pa	Ol_pi	Or_ni	Ot_po	Pa_na	Ph_ha	Ph_te	Pi_ar	Pi_av	Pi_gr	Pi_st	Po_re	Pr_li	Py_au	Rh_qu	Ri_la	Se_no	St_br	St_in	St_ma	Sy_ma	Ta_ne 
APA1D17	16_Janeiro	Moderada	Dezembro	Cabeceira	0	0	0	0	0	0	0	0	12	506	0	0	0	0	0	0	0	0	0	0	0	1072	0	0	0	0	0	0	0	0	12	48	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0
APA2D17	16_Janeiro	Moderada	Dezembro	Meio	0	0	0	0	0	5	5	0	91	213	0	0	5	0	71	0	0	0	5	0	5	25	0	0	0	0	0	0	0	0	15	0	0	0	0	0	51	0	0	0	0	10	0	0	0	0	0	0	0	0	15	0	0	0	0	0	15	0	0	0	0	0	106	0	0	0	0	0	0	0
APA3D17	16_Janeiro	Moderada	Dezembro	Foz	5	0	0	0	0	5	5	0	14	55	5	0	55	0	41	0	0	0	0	0	5	55	0	0	5	0	0	0	0	0	9	18	0	5	0	0	9	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	5	0	0	308	0	0	0	0	0	5	0	0	0	0	0	0	0
APA1M18	16_Janeiro	Moderada	Marco	Cabeceira	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	1362	0	0	0	0	0	0	0	0	128	170	0	21	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0	21	0
APA2M18	16_Janeiro	Moderada	Marco	Meio	0	0	0	0	0	71	4	0	53	151	0	0	35	0	106	0	0	0	13	0	18	22	0	0	0	0	0	0	0	0	62	4	0	4	0	0	13	0	0	0	0	13	0	0	0	0	0	0	0	0	18	0	9	0	0	0	27	0	0	0	0	0	22	0	0	0	4	0	4	0
APA3M18	16_Janeiro	Moderada	Marco	Foz	4	0	0	0	0	0	0	0	4	80	0	0	24	0	89	0	0	0	0	0	0	4	0	8	0	0	4	0	0	0	36	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	8	0	0	0	28	0	0	0	0	0	4	0	0	4	0	0	0	0
APA1J18	16_Janeiro	Moderada	Junho	Cabeceira	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	82	102	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0
APA2J18	16_Janeiro	Moderada	Junho	Meio	0	0	0	0	0	9	5	0	65	372	23	0	14	0	144	0	0	0	28	0	0	9	0	0	0	0	0	0	0	0	74	9	0	0	0	0	19	0	0	0	0	5	0	0	0	0	0	0	0	0	33	0	0	0	0	0	163	0	0	0	0	0	237	0	0	0	0	0	0	0
APA3J18	16_Janeiro	Moderada	Junho	Foz	0	0	0	0	0	8	0	0	0	49	0	0	16	0	95	0	0	0	0	0	0	41	0	25	0	0	12	0	0	0	37	21	0	4	0	0	12	0	0	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0	29	0	0	0	0	0	21	0	0	0	0	0	0	0
APA1S18	16_Janeiro	Moderada	Setembro	Cabeceira	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	744	0	0	0	0	0	0	0	0	0	55	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0
APA2S18	16_Janeiro	Moderada	Setembro	Meio	0	0	0	0	0	0	0	0	19	72	5	0	0	0	72	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	5	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	14	0	0	0	14	0	0	0	0	0	24	0	0	0	0	0	0	0
APA3S18	16_Janeiro	Moderada	Setembro	Foz	8	0	0	0	0	0	0	0	0	29	0	0	0	0	75	4	0	0	0	0	4	54	0	17	0	0	17	0	0	0	29	4	0	4	0	0	4	0	0	0	4	12	8	0	4	0	0	0	0	0	0	0	0	4	0	0	170	0	0	0	0	0	8	0	0	0	0	0	0	0
BAI1D17	Baiano	Moderada	Dezembro	Cabeceira	0	0	0	0	0	10	0	0	51	0	5	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	20	5	5	0	0	0	36	0	5	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	107	0
BAI2D17	Baiano	Moderada	Dezembro	Meio	0	0	0	0	0	0	0	0	226	6	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	6	0	0	0	31	0	61	6	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	6	0
BAI3D17	Baiano	Moderada	Dezembro	Foz	4	0	0	4	0	0	0	0	0	18	0	0	4	4	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	11	4	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	7	4	0	0	0	0	0	0	0	0	18	0	0	0	4	0
BAI1M18	Baiano	Moderada	Marco	Cabeceira	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	331	0	0	0	0	0	113	0	19	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	14	0	0	0	0	0	194	0
BAI2M18	Baiano	Moderada	Marco	Meio	0	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	4	0	0	0	0	11	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	15	0
BAI3M18	Baiano	Moderada	Marco	Foz	0	0	0	0	0	5	0	0	0	5	0	0	5	0	14	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	14	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAI1J18	Baiano	Moderada	Junho	Cabeceira	5	0	0	0	0	5	0	0	10	5	0	0	5	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	5	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	79	0
BAI2J18	Baiano	Moderada	Junho	Meio	0	0	0	0	0	4	0	0	4	11	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	4	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	18	0	0	0	8	0	0	0	0	0	0	0
BAI3J18	Baiano	Moderada	Junho	Foz	0	0	0	0	0	0	0	0	0	16	0	0	4	0	8	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAI1S18	Baiano	Moderada	Setembro	Cabeceira	10	0	0	0	0	0	0	0	44	25	40	5	0	0	0	0	0	0	5	0	0	30	0	0	0	0	0	0	0	0	44	10	15	0	0	0	64	0	20	15	0	30	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	5	0	0	0	15	0	0	0	0	0	144	0
BAI2S18	Baiano	Moderada	Setembro	Meio	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	11	0	0	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0
BAI3S18	Baiano	Moderada	Setembro	Foz	0	0	0	0	0	0	0	0	4	19	0	0	4	0	22	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	11	0	0	0	7	0	0	0	0	0	0	0	0	0	4	0
BRA1D17	Antas	Moderada	Dezembro	Cabeceira	5	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	16	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	54	0	0	0	0	0	5	0
BRA2D17	Antas	Moderada	Dezembro	Meio	31	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	4	0	0	0	12	0	0	0	0	0	0	0	0	0	35	0	43	4	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0
BRA3D17	Antas	Moderada	Dezembro	Foz	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	45	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0
BRA1M18	Antas	Moderada	Marco	Cabeceira	26	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	26	0	0	0	0	0	5	0
BRA2M18	Antas	Moderada	Marco	Meio	13	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
BRA3M18	Antas	Moderada	Marco	Foz	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
BRA1J18	Antas	Moderada	Junho	Cabeceira	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	11	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0
BRA2J18	Antas	Moderada	Junho	Meio	48	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	19	0	0	0	19	0	0	0	0	0	0	0	0	0	121	0	24	0	5	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0
BRA3J18	Antas	Moderada	Junho	Foz	257	0	0	0	0	0	0	0	0	0	1498	0	0	0	0	0	0	0	0	0	31	0	12	0	0	0	0	0	0	0	73	0	12	6	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1003	0	0	0	0	0	0	0	0	6	0	0	0	0	0	12	0
BRA1S18	Antas	Moderada	Setembro	Cabeceira	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	12	0	0	0	6	0	0	0	0	0	0	0	0	0	24	0	36	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	42	0	0	0	0	0	12	0
BRA2S18	Antas	Moderada	Setembro	Meio	20	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	10	0	0	0	5	0	0	0	0	0	0	0	0	0	60	0	30	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	25	0	0	0	0	0	20	0
BRA3S18	Antas	Moderada	Setembro	Foz	27	0	0	0	0	0	0	9	0	0	1966	0	0	0	0	0	0	0	0	0	15	0	27	0	0	0	0	0	0	0	12	0	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAL1D17	Bagre	Ausente	Dezembro	Cabeceira	14	0	0	0	0	0	0	0	72	0	188	0	0	116	14	14	739	0	203	0	72	0	0	0	0	0	0	0	0	0	43	58	0	0	14	0	768	0	0	0	0	116	0	0	0	0	0	0	14	0	0	348	0	14	0	0	0	0	0	0	0	0	362	0	174	0	0	0	29	0
