	Latitude	Longitude 
APA1	217541.95	7317744.86
APA2	217100.43	7320581.41
APA3	216005.82	7322950.04
BAI1	242868.17	7302200.54
BAI2	243526.24	7304632.23
BAI3	242453.47	7311937.76
BRA1	251275.72	7322234.19
BRA2	249453.83	7320845.52
BRA3	248519.91	7320897.19
FAL1	211450.18	7334399.36
FAL2	208710.57	7330481.02
FAL3	203292.82	7328898.18
PIO1	215253.17	7306982.10
PIO2	214512.64	7310742.27
PIO3	214135.18	7317747.57
STF1	210790.13	7304435.06
STF2	210376.54	7310323.05
STF3	208166.33	7319399.29
TAP1	796533.97	7330697.32
TAP2	799594.62	7333223.16
TAP3	801742.13	7334637.13
TAT1	264825.13	7311801.39
TAT2	263673.87	7312935.00
TAT3	262500.32	7315333.08
TRM1	797245.75	7326990.21
TRM2	800150.00	1328626.00
TRM3	803811.40	7331163.40
