	Riacho 	Ponto	Periodo	Categoria	Temp.agua	pH	OD	Largura	Profundidade	Fluxo
ua1	Aparecidinha	Cabeceira	Dez_17	Moderate	28.5	8.42	6.9	1.77	0.48	0.5
ua2	Aparecidinha	Meio 	Dez_17	Moderate	24.1	8.43	7.0	3.95	0.31	0.6
ua3	Aparecidinha	Foz	Dez_17	Moderate	21.9	8.45	6.7	4.35	0.31	0.7
ua4	Aparecidinha	Cabeceira	Mar_18	Moderate	24.0	6.38	7.6	1.00	0.11	0.8
ua5	Aparecidinha	Meio 	Mar_18	Moderate	24.3	6.32	7.4	4.51	0.26	0.7
ua6	Aparecidinha	Foz	Mar_18	Moderate	22.8	6.64	6.8	4.97	0.56	0.6
ua7	Aparecidinha	Cabeceira	Jun_18	Moderate	21.1	6.01	8.5	0.97	0.07	0.2
ua8	Aparecidinha	Meio 	Jun_18	Moderate	19.7	6.51	10.2	4.30	0.19	0.5
ua9	Aparecidinha	Foz	Jun_18	Moderate	17.6	7.18	8.2	4.86	0.27	0.7
ua10	Aparecidinha	Cabeceira	Set_18	Moderate	22.8	6.74	9.4	0.81	0.11	0.3
ua11	Aparecidinha	Meio 	Set_18	Moderate	22.4	6.55	10.5	4.19	0.23	0.7
ua12	Aparecidinha	Foz	Set_18	Moderate	22.0	6.77	8.4	4.81	0.23	0.6
ua13	Bagre	Cabeceira	Dez_17	Moderate	28.1	8.45	6.6	1.53	0.15	0.9
ua14	Bagre	Meio 	Dez_17	No_propagule_pressure	23.3	8.58	5.9	4.53	0.34	0.9
ua15	Bagre	Foz	Dez_17	No_propagule_pressure	21.1	8.73	7.3	6.40	0.59	1.2
ua16	Bagre	Cabeceira	Mar_18	No_propagule_pressure	23.4	6.82	7.1	2.50	0.32	0.7
ua17	Bagre	Meio 	Mar_18	No_propagule_pressure	24.8	6.65	7.6	5.22	0.46	1.0
ua18	Bagre	Foz	Mar_18	No_propagule_pressure	20.7	7.17	8.2	6.62	0.54	1.2
ua19	Bagre	Cabeceira	Jun_18	No_propagule_pressure	17.9	6.35	9.4	2.47	0.18	0.6
ua20	Bagre	Meio 	Jun_18	No_propagule_pressure	19.2	6.19	8.7	4.22	0.35	1.0
ua21	Bagre	Foz	Jun_18	No_propagule_pressure	18.7	6.13	9.5	6.07	0.54	0.8
ua22	Bagre	Cabeceira	Set_18	No_propagule_pressure	21.0	6.41	5.6	2.12	0.12	0.9
ua23	Bagre	Meio 	Set_18	No_propagule_pressure	23.8	6.74	8.9	4.12	0.52	0.6
ua24	Bagre	Foz	Set_18	No_propagule_pressure	22.3	6.87	5.8	5.77	0.65	1.2
ua25	Baiano	Cabeceira	Dez_17	Moderate	24.5	7.61	5.5	3.93	0.39	0.4
ua26	Baiano	Meio 	Dez_17	Moderate	23.3	8.15	7.2	3.27	0.36	0.7
ua27	Baiano	Foz	Dez_17	Moderate	24.0	8.04	7.8	5.43	0.69	0.4
ua28	Baiano	Cabeceira	Mar_18	Moderate	24.6	6.77	4.3	4.23	0.41	0.7
